date;Marketcap
2018-04-15;334433000000
2018-04-16;319868000000
2018-04-17;332094000000
2018-04-18;334449000000
2018-04-19;346320000000
2018-04-20;359217000000
2018-04-21;375589000000
2018-04-22;393387000000
2018-04-23;399532000000
2018-04-24;427498000000
2018-04-25;406415000000
2018-04-26;392821000000
2018-04-27;421726000000
2018-04-28;427829000000
2018-04-29;439134000000
2018-04-30;431183000000
2018-05-01;418695000000
2018-05-02;420589000000
2018-05-03;438026000000
2018-05-04;456054000000
2018-05-05;466805000000
2018-05-06;449101000000
2018-05-07;453641000000
2018-05-08;437430000000
2018-05-09;418781000000
2018-05-10;437515000000
2018-05-11;418001000000
2018-05-12;379622000000
2018-05-13;410174000000
2018-05-14;394192000000
2018-05-15;405734000000
2018-05-16;384748000000
2018-05-17;385630000000
2018-05-18;368744000000
2018-05-19;375279000000
2018-05-20;379462000000
2018-05-21;384899000000
2018-05-22;375582000000
2018-05-23;359620000000
2018-05-24;341189000000
2018-05-25;332757000000
2018-05-26;337091000000
2018-05-27;326367000000
2018-05-28;326067000000
2018-05-29;305422000000
2018-05-30;317415000000
2018-05-31;330865000000
2018-06-01;330424000000
2018-06-02;342124000000
2018-06-03;351344000000
2018-06-04;335059000000
2018-06-05;343633000000
2018-06-06;339437000000
2018-06-07;346952000000
2018-06-08;342173000000
2018-06-09;344541000000
2018-06-10;324912000000
2018-06-11;299868000000
2018-06-12;300302000000
2018-06-13;284277000000
2018-06-14;278261000000
2018-06-15;286387000000
2018-06-16;279199000000
2018-06-17;282038000000
2018-06-18;279121000000
2018-06-19;286620000000
2018-06-20;282706000000
2018-06-21;288499000000
2018-06-22;269832000000
2018-06-23;255383000000
2018-06-24;243511000000
2018-06-25;256408000000
2018-06-26;253308000000
2018-06-27;247231000000
2018-06-28;246119000000
2018-06-29;233775000000
2018-06-30;257244000000
2018-07-01;254944000000
2018-07-02;256554000000
2018-07-03;270150000000
2018-07-04;264684000000
2018-07-05;272759000000
2018-07-06;268718000000
2018-07-07;267453000000
2018-07-08;278287000000
2018-07-09;275256000000
2018-07-10;272266000000
2018-07-11;254410000000
2018-07-12;246186000000
2018-07-13;249550000000
2018-07-14;247746000000
2018-07-15;254331000000
2018-07-16;268150000000
2018-07-17;272304000000
2018-07-18;291387000000
2018-07-19;289555000000
2018-07-20;285275000000
2018-07-21;275918000000
2018-07-22;284799000000
2018-07-23;288802000000
2018-07-24;285881000000
2018-07-25;301765000000
2018-07-26;303409000000
2018-07-27;290960000000
2018-07-28;296378000000
2018-07-29;296504000000
2018-07-30;293982000000
2018-07-31;283156000000
2018-08-01;270013000000
2018-08-02;269616000000
2018-08-03;267736000000
2018-08-04;253463000000
2018-08-05;255632000000
2018-08-06;256719000000
